raw,transformed,position
Minister of Social Sector,Minister of Social Affairs,Q112162691
Minister of State at the Presidency of the Government,Minister of State at the Presidency,Q112174472
Minister of State at the Presidency of the Government in charge of the,Minister of State at the Presidency,Q112174472
Minister of State at the President's Office,Minister of State at the Presidency,Q112174472
Minister of State in charge of Interior and Local Coporations,Minister of State in charge of Interior and Local Coporations,Q112174473
Minister of State of  the Presidency of the Republic in charge of Missions,Minister of State of the Presidency,Q112174503
Minister of State of Agriculture,Minister of State of Agriculture,Q112174475
Minister of State of Communication and Transport,Minister of State of Communication and Transport,Q112174477
Minister of State of Education,Minister of State of Education,Q112174478
Minister of State of Forestry,Minister of State of Forestry,Q112174479
Minister of State of Health,Minister of State of Health,Q112174480
Minister of State of Industry,Minister of State of Industry,Q112174481
Minister of State of Information,Minister of State of Information,Q112174483
Minister of State of Infrastructure,Minister of State of Infrastructure,Q112174484
Minister of State of Justice,Minister of State of Justice,Q112174485
Minister of State of Labour and Social Security,Minister of State of Labour and Social Security,Q112174486
Minister of State of Missions,Minister of State of Missions,Q112174487
Minister of State of National Defence,Minister of State of National Defence,Q112174488
Minister of State of National Security,Minister of State of National Security,Q112174489
Minister of State of Parliamentary Relations and Juridical Affairs,Minister of State of Parliamentary Relations,Q112174490
"Minister of State of Planning and Economic Development, and Government Spokesman","Minister of State of Planning, and Government Spokesman",Q112174492
Minister of State of President's Office,Minister of State of President's Office,Q112174493
Minister of State of Public Service and Administrative Coordination,Minister of State of Public Service and Administrative Coordination,Q112174494
Minister of State of Public Works,Minister of State of Public Works,Q112174496
Minister of State of Relations with the Parliament and Juridical Affairs,Minister of State of Parliamentary Relations,Q112174490
Minister of State of Secretary-General at the Presidency,Minister of State of Secretary-General of the Presidency,Q112174498
Minister of State of Secretary-General of the Presidency,Minister of State of Secretary-General of the Presidency,Q112174498
Minister of State of Special Duties to the Presidency,Minister of State of Special Duties,Q112174499
Minister of State of Transport and Communication,Minister of State of Transport,Q112174500
Minister of State of Transport and Communications,Minister of State of Transport,Q112174500
Minister of State of Transports and Communications,Minister of State of Transport,Q112174500
Minister of State of Youth and Sports,Minister of State of Youth and Sports,Q112174501
"Minister of State of for Parliamentary Relations and Judicial Affairs, Government Spokesman",Minister of State of Parliamentary Relations,Q112174490
Minister of State of the Interior,Minister of State of the Interior,Q112174502
"Minister of State of the Presidency of the Republic, in charge of the Civil Office",Minister of State to the Presidency,Q112174504
"Minister of State to the Presidency of the Government, Charged with Regional Integration",Minister of State to the Presidency,Q112174504
"Minister of State to the Presidency of the Republic, Charged with Missions",Minister of State to the Presidency,Q112174504
Minister of Trade and the Promotion of Small and Medium-sized Businesses,Minister of Trade,Q112162696
Minister of Transport and Communications,Minister of Transport,Q112162697
"Minister of Transport, Technology, Posts and Telecommunications",Minister of Transport,Q112162697
"Minister of Transport, the Postal Service and Telecommunications",Minister of Transport,Q112162697
"Minister of Transports, Posts and Telecommunications",Minister of Transport,Q112162697
Minister of Women's Development,Minister of Women,Q28555503
Minister of Women’s Promotion and Social Affairs,Minister of Women,Q28555503
"Minister of Work, Employment Promotion and Social Security",Minister of Employment,Q112174471
"Minister of Works, Housing and Town Planning",Minister of Public Works,Q111021205
Minister of Youth and Sports,Minister of Youth and Sports,Q112162699
Minister of in charge of Relations with Parliament and Legal Affairs,Minister of Relations with Parliament and Legal Affairs of the Government,Q112162690
Minister of the Civil Service and Administrative Reform,Minister of Civil Service and Administrative Reform,Q112162670
Minister of the Economy and Finance,Minister of Economy,Q111021198
Minister of the Interior and Local Corporations,Minister of Interior,Q111021202
Minister of the Political Sector and Democracy,Minister of Political and Administrative Affairs,Q112162683
"Minister of the Presidency, in charge of Regional Integration",Minister at the Presidency,Q112162663
Minister of the Social Sector,Minister of Social Affairs,Q112162691
Prime Minister,Prime Minister,Q2351213
"Second Vice-Prime Minister, in charge of domestic affairs",Vice-Prime Minister,Q112162701
Secretary General of the Presidency of the Government,Secretary General of the Presidency,Q112174505
Secretary of State for the Energy,Secretary of State for Energy,Q112174507
Secretary of State for the National Defence,Secretary of State for National Defence,Q112174508
Secretary of State for the Treasury and the Budget,Secretary of State for the Treasury,Q112174509
Secretary of State of Defence,Secretary of State of Defence,Q112174510
Secretary of State of Energy,Secretary of State of Energy,Q112174511
Secretary of State of Finance and Budget,Secretary of State of Finance and Budget,Q112174512
Secretary of State of Foreign Affairs,Secretary of State of Foreign Affairs,Q112174513
Secretary of State of Housing and Urbanism,Secretary of State of Housing and Urbanism,Q112174514
Secretary of State of Information,Secretary of State of Information,Q112174515
Secretary of State of Mines and Hydrocarbons,Secretary of State of Mines and Hydrocarbons,Q112174516
Secretary of State of Planning,Secretary of State of Planning,Q112174517
Secretary of State of Public Function (?) Public Service,Secretary of State of Public Service,Q112174518
Secretary of State of Security,Secretary of State of Security,Q112174519
Secretary of State of The Treasury,Secretary of State for the Treasury,Q112174509
Secretary of State of Tourism,Secretary of State of Tourism,Q112174521
Secretary of State of Trade,Secretary of State of Trade,Q112174522
Secretary of State of Transport and Communications,Secretary of State of Transport,Q112174524
Secretary of State of Women's Promotion,Secretary of State of Women,Q112174526
Secretary of State of Women’s Affairs,Secretary of State of Women,Q112174526
Secretary of State of Youth and Sports,Secretary of State of Youth and Sports,Q112174527
Secretary-General at the prime minister’s office in charge of Administr,Secretary-General at the Prime Minister's Office,Q112174529
Secretary-General of the Government in charge of Administrative Co-ordi,Secretary-General of the Government,Q112174530
Vice President,Vice-President,Q7925046
Vice-Minister to the Presidency of the Republic,Vice-Minister to the Presidency,Q112174531
Vice-President in charge of Defence and State Security,Vice-President,Q7925046
"Vice-Prime Minister Third, in charge of Social Sector and Human Rights",Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of the Political Secor and Democr,Vice-Prime Minister,Q112162701
