entry,minister,id,startdate,enddate,position,type,portfolio,code,party,partycode,PDGE,Ethnic_group,Ethnicgroup_code,Ethnic_threegroup2,Fang,Family_link,Family_link_code,Seniority
415,Alejandro Evuna Owono Asangono,7,2013,,Minister at the presidency in charge of Missions,Minister of State,Minister at the presidency of the republic in charge of Missions,5,PDGE,7,1,Fang,5,1,1,,0,11
246,Carmelo Modu Akuse Bindang,47,2006,,Minister at the presidency in charge of Political and A,Presidency,Minister at the presidency of the republic in charge of Political and A,6,UDS,11,0,Fang,5,1,1,,0,5
255,Baltasar Engonga Edjo,34,2008,,Minister at the presidency in charge of Regional Inte,Minister,Minister at the presidency of the government in charge of Regional Inte,3,PDGE,7,1,Fang,5,1,1,Nephew,1,5
249,Baltasar Engonga Edjo,34,2006,,Minister at the presidency in charge of Regional Integration,Presidency,In charge of Sub-Regional Integration,6,PDGE,7,1,Fang,5,1,1,Nephew,1,4
361,Baltasar Engonga Edjo,34,2012,,Minister at the presidency in charge of Regional Integration,Minister of State,Minister at the presidency of the government in charge of Regional Inte,5,PDGE,7,1,Fang,5,1,1,Nephew,1,8
418,Baltasar Engonga Edjo,34,2013,,Minister at the presidency in charge of Regional Integration,Minister of State,Minister at the presidency of the government in charge of Regional Inte,5,PDGE,7,1,Fang,5,1,1,Nephew,1,9
253,Vicente Ehate Tomi,221,2008,,Minister at the Presidency in charge of the Administrative Coordination,Minister,Minister at the Presidency in charge of the Administrative Coordination,3,PDGE,7,1,Bubi,3,2,0,,0,2
297,Alejandro Evuna Owono Asangono,7,2010,,Minister at the presidency of the republic in charge of Missions,Minister of State,Minister at the presidency of the republic in charge of Missions,5,PDGE,7,1,Fang,5,1,1,,0,8
148,Carlos Eyi Obama,44,2003,,Minister Delegate of Agriculture,Minister Delegate,"Agriculture, Livestock and Rural Development",4,PDGE,7,1,Fang,5,1,1,,0,2
395,Diosdado-Sergio Osa Mongono,64,2012,,Minister Delegate of Agriculture,Minister Delegate,Agriculture and Forests,4,PDGE,7,1,Fang,5,1,1,,0,1
455,Salomon Nfa Ndong,198,2013,,Minister Delegate of Agriculture,Minister Delegate,Agriculture and Forests,4,PDGE,7,1,Fang,5,1,1,,0,1
510,Miguel Mba Nsang Mikue,175,2018,,Minister Delegate of Agriculture,Minister Delegate,"Agriculture, Livestock, Forests and Environment",4,UDS,11,0,Fang,5,1,1,,0,1
567,Miguel Mba Nsang Mikue,175,2020,,Minister Delegate of Agriculture,Minister Delegate,"Agriculture, Livestock, Forests and the Environment",4,PDGE,7,1,Fang,5,1,1,,0,2
390,Fausto Abeso Fuma,79,2012,,Minister Delegate of Civil Aviation,Minister Delegate,Civil Aviation,4,PDGE,7,1,Fang,5,1,1,Son-in-law,1,1
449,Fausto Abeso Fuma,79,2013,,Minister Delegate of Civil Aviation,Minister Delegate,Civil Aviation,4,PDGE,7,1,Fang,5,1,1,Son-in-law,1,2
445,Fortunato Ofa Mbo Nchama,88,2013,,Minister Delegate of Commerce,Minister Delegate,Commerce and Business Promotion,4,PDGE,7,1,Fang,5,1,1,,0,5
514,Alberto Doria Lajay,5,2018,,Minister Delegate of Commerce,Minister Delegate,Commerce and Promotion of Small and Medium-sized Businesses,4,PDGE,7,1,Bubi,3,2,0,,0,1
66,Jose Eneme Oyono,125,1998,,Minister Delegate of Communications and Transport,Minister Delegate,Delegate of Communications and Transport,4,PDGE,7,1,Fang,5,1,1,,0,1
149,Francisco Mba Olo Bahamonde,96,2003,,Minister Delegate of Communications and Transport,Minister Delegate,Communications and Transport,4,ADP,1,0,Fang,5,1,1,,0,1
382,Guillermina Mokuy Mba Obono,109,2012,,Minister Delegate of Culture and Tourism,Minister Delegate,Culture and Tourism,4,PDGE,7,1,Fang,5,1,1,,0,1
440,Guillermina Mokuy Mba Obono,109,2013,,Minister Delegate of Culture and Tourism,Minister Delegate,Culture and Tourism,4,PDGE,7,1,Fang,5,1,1,,0,2
60,Miguel Abia Biteo,169,1998,,Minister Delegate of Economy,Minister Delegate,Delegate of Economic Affairs and Finance,4,PDGE,7,1,Bubi,3,2,0,,0,1
352,Celestino Bonifacio Bacale Obiang,48,2011,,Minister Delegate of Economy,Minister Delegate,Economy,4,CPDS,3,0,Fang,5,1,1,,0,1
387,José-Angel Borico Moises,123,2012,,Minister Delegate of Economy,Minister Delegate,"Economy, Commerce and Business Promotion",4,PDGE,7,1,Bubi,3,2,0,,0,2
447,Hermes Ela Mifumu,111,2013,2018,Minister Delegate of Economy,Minister Delegate,"Economy, Planning and Public Investment",4,PDGE,7,1,Fang,5,1,1,,0,1
62,Teresa Avoro,216,1998,,Minister Delegate of Education,Minister Delegate,"Delegate of Education, Science and Francophone Affairs",4,PDGE,7,1,Fang,5,1,1,,0,1
391,Santiago Ondo Esono Asangono,207,2012,,Minister Delegate of Education,Minister Delegate,Education and Sciences,4,PDGE,7,1,Fang,5,1,1,,0,1
450,Jesus Engonga Ndong,119,2013,,Minister Delegate of Education,Minister Delegate,Education and Sciences,4,PDGE,7,1,Fang,5,1,1,,0,1
566,Manuela Roca Botey,234,2020,,Minister Delegate of Education,Minister Delegate,"Education, University Teaching and Sports",4,PDGE,7,1,Bubi,3,2,0,,0,1
393,Fidel-Marcos Meñe Ncogo,84,2012,,Minister Delegate of Energy,Minister Delegate,Energy,4,PDGE,7,1,Fang,5,1,1,,0,1
452,Fidel-Marcos Meñe Ncogo,84,2013,,Minister Delegate of Energy,Minister Delegate,Energy,4,PDGE,7,1,Fang,5,1,1,,0,2
321,Martin-Crisantos Ebe Mba,163,2010,,Minister Delegate of Finance,Minister Delegate,Finance and the Budget,4,PDGE,7,1,Fang,5,1,1,,0,1
350,Martin-Crisantos Ebe Mba,163,2011,,Minister Delegate of Finance,Minister Delegate,Finance and the Budget,4,PDGE,7,1,Fang,5,1,1,,0,2
388,Montserrat Afang Ondo,179,2012,,Minister Delegate of Finance,Minister Delegate,"Finance, Taxes and Contributions",4,PDGE,7,1,Fang,5,1,1,Niece,1,1
446,Eucario Bacale Angue,74,2013,,Minister Delegate of Finance,Minister Delegate,"Finance, Taxes and Contributions",4,PDGE,7,1,Fang,5,1,1,,0,1
509,Montserrat Afang Ondo,179,2018,,Minister Delegate of Finance,Minister Delegate,"Finance, Economy and Planning",4,PDGE,7,1,Fang,5,1,1,Niece,1,2
565,Valentin Ela Maye,220,2020,,Minister Delegate of Finance,Minister Delegate,"Finance, the Economy and Planning",4,PDGE,7,1,Fang,5,1,1,Gabriel Obiang's father-in-law,1,4
56,Teresa Efua Asangono,217,1998,,Minister Delegate of Foreign Affairs,Minister Delegate,Delegate of Foreign Affairs and Cooperation,4,PDGE,7,1,Fang,5,1,1,,0,1
150,Jose Esono Micha,126,2003,,Minister Delegate of Foreign Affairs,Minister Delegate,"Foreign Affairs, International Cooperation and Francophone Affairs",4,PDGE,7,1,Fang,5,1,1,,0,1
383,Pedro Ela Nguema Buna,185,2012,,Minister Delegate of Foreign Affairs,Minister Delegate,Foreign Affairs and Cooperation,4,PDGE,7,1,Fang,5,1,1,,0,1
