item,name,gender,positionItem,position,startDate,endDate,source,sourceDate,psid
Q112133249,HERBERTO MECO MBENGONO,male,Q112174457,Ministro-Delegado de Seguridad Nacional,2018,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133249-878B77DC-07B0-4152-918A-AEAF2C66C64C
Q112133252,JUAN-ANTONIO BIBANG NCHUCHUMA,male,Q112162673,"Ministro a la Presidencia de la República, Encargado de Seguridad Exterior",2018-02-06,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133252-4E3D5A71-55EE-4435-94A7-FBBC45970033
Q112133267,PEDRO ONDO NGUEMA,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Obras Públicas en el Ministerio de Obras Públicas, Viviendas y Urbanismo",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133267-E63D9809-B4A0-4812-AE60-00A8ED9E4D7F
Q112133271,MÁXIMO TORAO OYO,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Electrificación en el Ministerio de Industria y Energía,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133271-37CF3579-F298-42A4-BA4F-AE6B31C4D81E
Q112133372,ADORACIÓN SALAS CHONCO,female,Q112162674,Ministra de Pesca y Recursos Hídricos,2018-02-06,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133372-251E9D4E-AF8A-49D4-B04B-1D95553DE25B
Q112133375,ALFREDO MITOGO MITOGO ADA,male,Q112174471,"Ministro de Trabajo, Fomento de Empleo y Seguridad Social",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133375-D71AC999-DCB3-4BEA-B623-161290997B07
Q112133412,HERMES ELA MIFUMU,male,Q112174406,"Vice-Ministro de Hacienda, Economía y Planificación, Encargado de Impuestos y Contribuciones",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133412-FFF10026-AAC3-4C88-83AF-89EBA6122D99
Q112133454,SANTIAGO CASTO NVONO BIBANG,male,Q112187535,Director General del Gabinete,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133454-C4F6AA0C-7BDC-4937-99BD-3644D6106E88
Q112133458,SILVESTRE ABAGA EYANG,male,Q112185910,Vice-Ministro Encargado de Bosques y Medio Ambiente,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133458-0FB0F767-675F-484F-A306-D4FE4528C7A4
Q112133572,DOMING0 MBA ESONO,male,Q112174401,Vice-Ministro de Comercio y Promoción de Pequeños y Medianas Empresas,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133572-2EE97AD3-3336-4505-9B53-E49FC203D0FC
Q112133713,MARÍA CONSUELO NGUEMA OYANA,female,Q112162691,Ministra de Asuntos Sociales e Igualdad de Género,2018-02-06,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133713-4456E3F2-8250-4676-9E23-B1EB12FF349E
Q112133727,MIGUEL MBA NSANG MIKUE,male,Q112174437,"Ministro-Delegado de Agricultura, Ganadería, Bosques y Medio Ambiente",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133727-011A8067-2B8E-4277-B037-B0C7068D1898
Q112162958,ALEJANDRO EVUNA OWONO ASANGONO,male,Q112162678,"Ministro de Estado a la Presidencia de la República, Encargado de Misiones",1989-11-25,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112162958-BAB1E218-875E-4A06-8C35-76D61E6FA22B
Q112162967,BALTASAR ENGONGA EDJO,male,Q112162689,"Ministro de Estado a la Presidencia del Gobierno, Encargado de la Integración Regional",2006-02-14,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112162967-FAE69AB5-B2E5-4F49-AD19-DE8042508A10
Q112162972,Clemente Engonga Nguema Andeme,male,Q111021199,Minister of National Education,2019-04-10,,,,Q112162972-8386F421-2EDA-48E3-83F2-3553AC841159
Q112162980,ESTANISLAO DON MALAVO,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Clima de Negocios en el Ministerio de Hacienda, Economía y Planificación",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112162980-BB097EEA-983D-4BDA-9634-5F763410A7FF
Q112162982,FAUSTINO NDONG ESONO EYANG,male,Q111021202,Ministro de Estado del Interior y Corporaciones Locales,2019-04-10,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112162982-E1A9578E-36F2-47B1-A0E7-DFF606DA8D39
Q112162984,FIDEL NSUE MICHA,male,Q112174452,Ministro-Delegado del Interior y Corporaciones Locales,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112162984-5EEBB548-C290-458C-ADF6-36101F7AFDB6
Q112162994,JUAN NKO MBULA,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Viviendas, Edificaciones y Mantenimientos en el Ministerio de Obras Públicas, Viviendas y Urbanismo",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112162994-04FDBFEB-CD83-4F4E-AEE3-3C78AE737F00
Q112163002,MIGUEL EKUA ONDO,male,Q111021201,Ministro de Industria y Energía,2018-02-06,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112163002-1E52253B-2B0A-4F50-84A4-539766E45CF0
Q112163007,NICOLÁS OBAMA NCHAMA,male,Q112162679,"Ministro de Estado, Encargado de Seguridad Nacional",2009-02-24,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112163007-E1DACF6D-23CC-436C-BF46-9522D7A43635
Q112163009,NICOLÁS HOUTONJI ACAPO,male,Q111021197,"Ministro de Agricultura, Ganadería, Bosques y Medio Ambiente",2018-02-06,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112163009-E30AE807-C2F6-4B52-B1AE-6FE26AD995ED
Q112163013,RUFINO NDONG ESONO NCHAMA,male,Q112162672,"Ministro de Cultura, Turismo y Promoción Artesanal",2018-02-06,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112163013-3DE63F49-EAFA-41A4-AA0D-EC1A0CF9A3F9
Q112163016,SALVADOR ONDO NCUMU,male,Q111021203,"Ministro de Justicia, Culto e Instituciones Penitenciarias",2018-02-06,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112163016-58906551-4104-48CB-B80B-E3C75FD89EFC
Q112175131,ALBERTO DORIA LAJAY,male,Q112174463,Ministro-Delegado de Comercio y Promoción de Pequeñas y Medianas Empresas,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175131-0344640D-5849-4677-A5D1-D793C1BEB089
Q112175139,ARMANDO DOUGAN CHAMPION,male,Q112174531,"Vice-Ministro de la Presidencia de la República, Encargado de Ceremonias y Traducciones",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175139-78213990-BCD8-4E2F-BE84-91A62CF6BAD4
Q112175140,ATALIA MODESTA BAHA ONDO,female,Q112174412,"Vice-Ministra de Información, Prensa y Radio",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175140-EF73AB71-B6FB-47B8-BF98-754FC027D88A
Q112175141,BALTASAR ESONO EWORO NFONO,male,Q112174505,Ministro Secretario General de la Presidencia del Gobierno,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175141-0FD2C451-EA13-4C69-B334-21781E4C7203
Q112175154,CESAR AGUADO HINESTROSA GOMEZ,male,Q112174410,Vice-Ministro de Industria y Energía,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175154-EFFFA4D7-A30C-47B5-9A31-C4170A6BA05A
Q112175156,CLEMENTE FERREIRO VILLARINO,male,Q111021205,"Ministro de Obras Públicas, Viviendas y Urbanismo",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175156-54B74F01-DC15-425E-A445-4E3B0B8D4C69
Q112175162,CÁNDIDO NCOGO ENGONO NCHAMA,male,Q112174419,Vice-Ministro de Defensa Nacional,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175162-478B326E-865E-4218-8B88-DDC02A3D83A3
Q112175166,MITOHA ONDO'O AYEKABA,male,Q112174409,Vice-Ministro de Sanidad y Bienestar Social,2018,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175166-49791314-9C3B-42C6-AC0F-970919B4EC28
Q112175182,GERÓNIMO-CARLOS OSA OSA NZANG,male,Q112174407,Vice-Ministro de Pesca y Recursos Hídricos,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175182-49647A5E-4EF5-47E4-9760-2412C17A019B
Q112175188,HONORATO EVITA OMA,male,Q112174571,"Vice-Ministro de Transportes, Correos y Telecomunicaciones, Exmo",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175188-1B4EAAD3-5913-4C90-9F86-4238C92ADF1C
Q112175192,JOAQUÍN ELEMA BORENGUE,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Señalización y Seguridad Marítima en el Ministerio de Transportes. Correos y Telecomunicaciones,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175192-022A3571-7663-45D0-96F0-38D8EC892F6E
Q112175193,JOSÉ-ÁNGEL BORICO MOISÉS,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Administración Tributaria en el Ministerio de Hacienda, Economía y Planificación",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175193-B53060CC-9A47-4C8B-9A0F-FB4A37D6644C
Q112175194,JOSE-MARIA ONDO OYONO.,male,Q112184759,"Secretario de Estado, Encargado de Plantas de Producción de Energía y Lineas de Transmisión",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175194-3EF12915-9B68-412A-991C-3B614EAF01B7
Q112175200,JUAN OLO MBA NSENG,male,Q112174453,"Ministro-Delegado de Justicia, Culto e Instituciones Penitenciarias",2018,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175200-B73308D8-07A0-4979-99FB-ACEEDB345825
Q112175206,MANUEL CRISTÓBAL MORGADES ICHACA,male,Q112174431,"Vice-Ministro de Trabajo, Fomento del Empleo y Seguridad Social",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175206-586E21EC-E6AC-4D62-AB7E-13E75A899E50
Q112175210,MANUELA ROCA BOTEY,female,Q112174444,"Ministra-Delegada de Educación, Enseñanza Universitaria y Deportes",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175210-5AC3B06E-ADB5-4E56-AFE2-69DBFBF31934
Q112175211,MARÍA-JESÚS NCARA OWONO,female,Q112186154,"Consejera a la Presidencia del Gobierno en Materia de Enseñanza Superior y Universitaria en el Ministerio de Educación, Enseñanza Universitaria y Deportes",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175211-5DD2D1FC-6027-4A09-8194-B2548DC8D269
Q112175227,NORBORTO-BARTOLOMÉ MENSUY MAÑE ANDEME,male,Q112162668,Ministro de Aviación Civil,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175227-819D73F1-1AFD-4543-9E9C-61959A753412
Q112175228,PASCUAL ONDO NSE OYANA,male,Q112174423,"Vice-Ministro de Obras Públicas, Viviendas y Urbanismo",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175228-0767293C-76DA-4A78-8077-B58B0F390193
Q112175229,PEDRO ABAGA ESONO,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Aprovisionamiento, Farmacia y Laboratorio en el Ministerio de Sanidad y Bienestar Social",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175229-FB34C97E-D316-4006-A7E8-6F7B4295BE87
Q112175230,PEDRO ELA NGUEMA BUNA,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Protocolo y Organización Nacional de Eventos en el Ministerio de Asuntos Exteriores y Cooperación,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175230-9C586838-53BD-440F-B8F2-6B1DB5A4AF74
Q112175231,PEDRO NGUEMA NDONG,male,Q112174408,Vice-Ministro de Asuntos Exteriores y Cooperación,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175231-2D4F3AB7-A7AC-4539-B7FC-27BB981B8A7A
Q112175236,RUFINO OVONO ONDO,male,Q112162697,"Ministro de Transportes, Correos y Telecomunicaciones",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175236-70E5DCEA-3E2D-4D82-B9AF-24E2B7913D8D
Q112175241,SANTIAGO MBA ENEME NSUGA,male,Q112174418,Vice-Ministro de Minas e Hidrocarburos,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175241-F7E325FF-F8E3-485E-9BFD-3084CFA39D45
Q112175242,SANTIAGO NSOBEYA BARREIROS,male,Q112174422,Vice-Ministro de la Función Pública y Reforma Administrativa,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175242-697873CE-7322-492D-AE0F-E4F1728EB53D
Q112175246,VALENTÍN ELA MAYE,male,Q111021200,"Ministro de Hacienda, Economía y Planificación",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175246-50D9572C-C4D2-46C3-A8EA-C03FB1922864
Q112175249,VIRGILIO SERICHE RILOHA,male,Q112128225,"Ministro de Información, Prensa y Radio",2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112175249-1531B5D4-8795-4937-AFB6-6D99055358E4
Q112184839,VICENTE NSUE NSUE MANGUE,male,Q112184840,"Secretario de Estado, Encargado de Enseñanza Superior y Secundaria",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184839-124325D2-2B9C-43D4-97DE-8458257D5211
Q112184844,TOMÁS ESONO NSUE EYA,male,Q112184845,"Secretario de Estado, Encargado de Obras Públicas",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184844-5B784C15-8D85-422F-8483-A5B16045E42E
Q112184866,SALVADOR NDONG NSUE,male,Q112184867,Secretario de Estado a la Presidencia de la República en el Departamento de Misiones,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184866-16DE7813-64CE-4E1C-87E2-0B6F534F480C
Q112184870,RIMMÉ BOSIO RIOCALO,female,Q112184871,"Secretaria de Estado de Justicia, Culto e Instituciones Penitenciarias",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184870-3AFD7554-A91A-4CBC-B479-CDFDE7B73411
Q112184922,PATRICIO BACALE MBA MEDJA,male,Q112184923,"Secretario de Estado, Encargado de Deportes",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184922-FB1C6B56-143E-4140-9296-FDBB7FFC2471
Q112184926,PASCUAL BAKALE MBIANG,male,Q112184927,"Secretario de Estado, Encargado de Sanidad Animal y Control de Calidad de Alimentos",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184926-477A0D92-AF34-4862-AFA0-936DAFA84B65
Q112184929,MILAGROSA OBONO ANGUE,female,Q112174509,"Secretaria de Estado, Encargada de la Tesorería",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184929-54685CEE-4E60-4A29-A964-068B44CD90A4
Q112184941,MARIA ÁNGELES MIAGA BIBANG,female,Q112184942,"Secretaria de Estado, Encargada de Asuntos Económicos y Patrimonio de Guinea Ecuatorilal en el Exterior",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184941-4B19E5E5-C34A-4D5B-90C7-D6B870162FE3
Q112184943,MARIA DEL PILAR MEDJA NVONO NSA,female,Q112184944,"Secretaria de Estado, Encargada de Asuntos Sociales e Igualdad de Género",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184943-0280E25A-E5C3-4861-8E79-8C87865EA3DD
Q112184951,JUAN ABAHA ELO,male,Q112184952,"Secretario de Estado a la Presidencia de la República, Encargado de Auditorías",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184951-DA033863-B20B-405F-90CE-366741FB8531
Q112184953,EDUARDO MINANG ENSEME,male,Q112174519,Secretario de Estado de Seguridad Nacional,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184953-3C3B4C9A-518B-4D3D-AF22-D93722DB255B
Q112184954,CATALINA MARTINEZ ASUMU,female,Q112174521,"Secretaria de Estado, Encargada de Turismo",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184954-8798443C-B0E5-4FBD-84B2-CC3CCC8CA02F
Q112184955,CARMELO OVONO OBIANG,male,Q112174513,"Secretario de Estado a la Presidencia de la República, Encargado de Seguridad Exterior",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184955-73F82A3C-E2AE-4323-9734-D24F9CFB4A74
Q112184956,AVELINO MOCACHE MENGA,male,Q112184957,Secretario de Estado de Pesca y Recursos Hidrícos,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184956-F87ECE3A-2242-4900-BCF9-DF9CF36F6B51
Q112184959,ANTONIO NGUA MBA EYANG,male,Q112174512,"Secretario de Estado, Encargado de Presupuestos y Control Financiero",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184959-529222D5-674E-413C-A021-18D423C72265
Q112184961,ALFREDO ABESO NVONO ONGUENE,male,Q112174508,Secretario de Estado de Defensa Nacional,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184961-BFDC9A0E-8299-4C9C-ABB0-316623EF503F
Q112184962,ALFONSO OSA NGUEMA MOKUY,male,Q112184963,Secretario de Estado de Aviación Civil,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112184962-46F00F02-F035-43F7-9F6F-F3B93A79E969
Q112186160,ROSENDO OTOGO MEÑENG,male,Q112186154,Consejero a la Presidencia de la República en Materia de Asuntos Económicos y Financieros,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186160-9143F7D4-8533-46C1-8A8F-0538BC11ACFF
Q112186161,JUAN-NOEL NSUE ONDO,male,Q112186154,Consejero a la Presidencia de la República en Materia de Ceremonias y Traducciones,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186161-287DB068-70E5-4746-862F-0FABEA5E716B
Q112186163,ERNESTO-VALENTIN NDONG MBA,male,Q112186154,Consejero a la Presidencia de la República en el Gabinete de Primera Dama,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186163-813369E3-A465-4654-B542-3F71F5272F52
Q112186166,PEDRO NDONG OBIANG NGOMO,male,Q112186154,Consejero a la Presidencia de la República en Materia de Seguridad,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186166-36DE6C41-4A52-4F40-8152-721A40792304
Q112186173,JUSTO OBIANG OBIANG MANGUE,male,Q112186174,Asistente Personal del Jefe de Estado,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186173-30CB7176-70EE-4609-BCEA-713E2F290B5F
Q112186175,ANGEL NDONG MICHA,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Asuntos Administrativos y Coordinación,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186175-324377C2-B885-4E71-8238-15735B4B185E
Q112186215,PEDRO ONDO NGUA,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Asuntos Jurídicos y Sociales,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186215-13DB9775-98F2-4D63-A581-834210AF2A16
Q112186216,EUSTAQUIO NSENG ESONO,male,Q112186154,Consejero a lo Presidencia del Gobierno en Materia de de Asuntos Consulados y Tratados en el Ministerio de Asuntos Exteriores y Cooperación,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186216-FF37CBEF-E369-4B34-9422-2DCCAAED8543
Q112186217,FRANCISCO EVUY NGUEMA MICUE,male,Q112186154,"Consejero a la Presidencia del Gobierno en Materia de Política Judicial y Codificación de Leyes, en el Ministerio de Justicia, Culto e Instituciones Penitenciarias",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112186217-0EC47225-3442-45AB-A23B-E28E9DE8AC44
